Date,Open,High,Low,Close,Volume
11/2022,"13.81","17.00","12.96","16.67","6,107,886,899"
10/2022,"12.35","13.85","10.81","13.50","12,551,857,814"
09/2022,"14.21","14.55","11.95","12.14","13,131,096,429"
08/2022,"18.18","19.27","14.96","15.09","12,071,570,669"
07/2022,"14.90","18.24","14.06","18.16","10,566,355,474"
06/2022,"18.72","19.62","14.86","15.16","10,556,764,134"
05/2022,"18.54","20.40","15.57","18.67","13,833,018,612"
04/2022,"27.38","27.56","18.29","18.55","11,114,976,519"
03/2022,"24.29","28.95","20.65","27.29","11,645,194,364"
02/2022,"25.10","26.92","20.89","24.39","10,646,151,714"
01/2022,"29.82","30.71","20.89","24.49","10,684,581,933"
12/2021,"33.22","33.29","27.15","29.41","11,062,805,879"
11/2021,"30.55","34.65","28.80","32.68","5,475,237,795"
