Date,Open,High,Low,Close,Volume
11/2024,"134.70","149.77","134.57","141.98","2,197,686,188"
10/2024,"121.77","144.42","115.14","132.76","5,628,704,705"
09/2024,"116.01","127.67","100.95","121.44","6,270,527,952"
08/2024,"117.53","131.26","90.69","119.37","8,105,367,751"
07/2024,"123.47","136.15","102.54","117.02","6,407,092,844"
06/2024,"113.62","140.76","112.00","123.54","7,442,538,538"
05/2024,"85.08","115.82","81.25","109.63","9,647,970,934"
04/2024,"90.30","92.23","75.61","86.40","10,074,179,179"
03/2024,"80.00","97.40","79.44","90.36","12,149,220,689"
02/2024,"62.10","82.39","61.65","79.11","11,077,898,969"
01/2024,"49.24","63.49","47.32","61.53","9,706,237,053"
12/2023,"46.53","50.43","45.01","49.52","7,411,886,616"
11/2023,"49.94","50.55","46.42","46.77","5,023,731,040"
