Date,Open,High,Low,Close,Volume
11/2023,"40.88","49.96","40.87","48.89","4,601,516,714"
10/2023,"44.03","47.61","39.23","40.78","10,142,413,499"
09/2023,"49.76","49.80","40.98","43.50","8,580,103,334"
08/2023,"46.46","50.27","40.31","49.36","13,636,383,424"
07/2023,"42.52","48.09","41.35","46.73","8,708,556,473"
06/2023,"38.49","43.99","37.36","42.30","10,528,024,065"
05/2023,"27.84","41.94","27.24","37.83","11,697,818,683"
04/2023,"27.51","28.11","26.22","27.75","7,436,449,756"
03/2023,"23.19","27.83","22.30","27.78","11,266,576,407"
02/2023,"19.69","23.89","19.61","23.22","10,394,089,946"
01/2023,"14.85","20.63","14.03","19.54","9,454,958,175"
12/2022,"17.00","18.79","13.88","14.61","8,946,151,301"
11/2022,"16.72","17.00","15.08","16.92","5,039,002,820"
